ID,英文名,中文名,类型,尺寸,初始等级,可用等级,英雄,标签,效果类型(HiddenTags),冷却(s),冷却(各级),伤害,伤害(各级),治疗,治疗(各级),护盾,护盾(各级),弹药,弹药(各级),暴击,暴击(各级),多重,多重(各级),灼烧,灼烧(各级),剧毒,剧毒(各级),再生,再生(各级),吸血,吸血(各级),购买价格,购买价格(各级),出售价格,出售价格(各级),技能(主动+被动),任务(目标|奖励),Golden(黄金),Heavy(沉重),Icy(寒冰),Turbo(疾速),Shielded(护盾),Restorative(回复),Toxic(毒素),Fiery(炽焰),Shiny(闪亮),Deadly(致命),Radiant(辉耀),Obsidian(黑曜石)
0022c409-c839-41e8-8022-65a407457dfe,Eagle Talisman,鹰之护符,Item / 物品,Small / 小型,Silver / 白银,Silver/Gold/Diamond,Common / 通用,Loot / 战利品,Crit / 暴击,0.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,[被动] 出售此物品时，己方最左侧的物品永久获得5/10/20%暴击率,null,此物品的价值翻倍,出售此物品时，己方最左侧的减速物品获得200减速持续时间,出售此物品时，己方最左侧的冻结物品获得100冻结持续时间,出售此物品时，己方最左侧的加速物品获得200加速持续时间,出售此物品时，最左侧的护盾物品+10,出售此物品时，最左侧的治疗物品+10,出售此物品时，己方最左侧的剧毒物品获得1,出售此物品时，己方最左侧的灼烧物品获得1,,此物品的暴击率加成翻倍,,出售此物品时，己方最左侧的武器获得10
004cb876-1ed2-4a4b-88d4-475cea76a03d,Airplane Glue,航空胶水,Item / 物品,Small / 小型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Stelle / 斯黛尔,Tool / 工具,Flying / 飞行 | DamageRef / 伤害引用 | ShieldRef / 护盾引用,5.0,5,0,,0,,0,,0,,0,,1,1,0,,0,,0,,0,,0,0,0,0,"[主动] 相邻物品停止飞行
[被动] 当己方一件物品停止飞行时，该物品获得10/20/30/40和10/20/30/40",null,此物品的价值翻倍,减速一件物品2秒,冻结一件物品0.5秒,加速一件物品2秒,获得40护盾,治疗40生命值,造成4剧毒,造成4灼烧,此物品的伤害和护盾加成翻倍,你的物品停止飞行时，己方物品+10暴击率,此物品免疫冻结、减速和摧毁,造成40伤害
00e3a7ff-af5e-47ce-a2c0-2d4ec31ac7d7,Narwhal,独角鲸,Item / 物品,Small / 小型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Vanessa / 瓦内莎,Aquatic / 水系 | Weapon / 武器 | Friend / 伙伴,Damage / 伤害,3.0,3,5,5/10/20/40,0,,0,,0,,0,,1,1,0,,0,,0,,0,,0,0,0,0,[主动] 造成5/10/20/40伤害,null,此物品的价值翻倍,减速一件物品1秒,冻结一件物品0.5秒,加速一件物品1秒,获得护盾，等量于此物品伤害量,获得治疗，等量于此物品伤害,造成剧毒，等量于此物品伤害的10%,造成灼烧，等量于此物品伤害的10%,此物品+1多重释放,此物品+50%暴击率,此物品免疫冻结、减速和摧毁,此物品的伤害翻倍
012658f4-b289-4f10-917c-a9a1f3f9ca03,Ice Cream Truck,冰淇淋车,Item / 物品,Large / 大型,Silver / 白银,Silver/Gold/Diamond,Pygmalien / 皮格马利翁,Vehicle / 载具 | Food / 食物 | Property / 地产,Freeze / 冻结,9.0,9/8/7,0,,0,,0,,0,,0,,1,1,0,,0,,0,,0,,0,0,0,0,"[主动] 冻结2件物品1秒
[被动] 当你使用另一件物品时，充能此物品1秒",null,此物品的价值翻倍,减速2件物品1秒,此物品的冻结持续时间翻倍,加速2件物品1秒,获得40护盾,治疗40生命值,造成4剧毒,造成9灼烧,此物品+1多重释放,己方非武器物品+50%暴击率,此物品免疫冻结、减速和摧毁,造成40伤害
014d9c98-e823-443c-98a3-6367ab81c956,Trained Spider,驯化蜘蛛,Item / 物品,Small / 小型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Common / 通用,Friend / 伙伴,Poison / 剧毒 | PoisonRef / 剧毒引用,6.0,6,0,,0,,0,,0,,0,,1,1,0,,1,1/2/3/4,0,,0,,0,0,0,0,"[主动] 造成1/2/3/4剧毒
[被动] 出售此物品时，己方最左侧的剧毒物品永久获得1/2/3/4",null,此物品的价值翻倍,减速一件物品3秒,冻结一件物品0.5秒,加速一件物品3秒,获得护盾，等量于此物品剧毒的5倍,获得治疗，等量于此物品剧毒的5倍,此物品的剧毒翻倍,造成灼烧，等量于此物品的剧毒,此物品+1多重释放,此物品+50%暴击率,此物品免疫冻结、减速和摧毁,造成伤害，等量于此物品剧毒的5倍
01f6e150-ba23-429c-a43b-2508f63fc798,Myrrh,没药,Item / 物品,Small / 小型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Mak / 马克,Reagent / 试剂,Regen / 再生,6.0,6,0,,0,,0,,0,,0,,1,1,0,,0,,1,1/3/5/7,0,,0,0,0,0,"[主动] 生命再生量提高1/3/5/7
[被动] 此物品转化时，为其赋予回复附魔（如适用）",null,此物品的价值翻倍,减速一件物品3秒,冻结一件物品0.5秒,加速一件物品3秒,获得护盾，等量于此物品生命再生量的5倍,获得治疗，等量于此物品生命再生量的5倍,造成剧毒，等量于此物品生命再生量,造成灼烧，等量于此物品的生命再生量,此物品+1多重释放,此物品+50%暴击率,此物品免疫冻结、减速和摧毁,造成伤害，等量于此物品生命再生的5倍
020a0ec0-21e6-41af-899f-063573ba9ca5,Virus,病毒,Item / 物品,Small / 小型,Silver / 白银,Silver/Gold/Diamond,Common / 通用,Tech / 科技,Poison / 剧毒,8.0,8/6/5,0,,0,,0,,0,,0,,0,,0,,0,0,0,,0,,0,0,0,0,"[主动] 布阵区上每有一个病毒，就对自己造成2/4/6剧毒
[主动] 将每位玩家布阵区上另一件非传奇小型物品转化为病毒",null,此物品的价值翻倍,减速1件己方物品4秒,冻结一件己方物品1秒,加速一位敌人的物品4秒,对一位敌人施加护盾，等量于此物品剧毒的5倍,对一位敌人施加治疗，等量于此物品剧毒的5倍,此物品的剧毒翻倍,对自己造成灼烧，等量于此物品的剧毒,此物品+1多重释放,此物品+50%暴击率,此物品免疫冻结、减速和摧毁,对自己造成伤害，等量于此物品剧毒的5倍
0229faa7-2eec-4746-9134-ade4f3aebe45,Gamma Ray,伽马射线,Item / 物品,Small / 小型,Silver / 白银,Silver/Gold/Diamond,Dooley / 杜利,Ray / 射线 | Tech / 科技,Poison / 剧毒 | PoisonRef / 剧毒引用,6.0,6,0,,0,,0,,0,,0,,1,1,0,,4,4/6/8,0,,0,,0,0,0,0,"[主动] 造成4/6/8剧毒
[被动] 当你使用核心或射线时，此物品和相邻物品获得2/3/4",null,此物品的价值翻倍,减速一件物品3秒,冻结一件物品0.5秒,加速一件物品3秒,获得护盾，等量于此物品剧毒的5倍,获得治疗，等量于此物品剧毒的5倍,此物品的剧毒获取翻倍,造成灼烧，等量于此物品的剧毒,此物品+1多重释放,己方射线+25%暴击率,此物品免疫冻结、减速和摧毁,造成伤害，等量于此物品剧毒的5倍
027ef534-d047-4e18-8496-d9fd4773e15d,Dishwasher,洗碗机,Item / 物品,Large / 大型,Gold / 黄金,Gold/Diamond,Jules / 朱尔斯,Tool / 工具,Haste / 加速 | HeatedReference,7.0,7,0,,0,,0,,0,,0,,1,1,0,,0,,0,,0,,0,0,0,0,"[主动] 使己方其他工具和武器进入高温状态3秒
[主动] 加速己方其他工具和武器3秒
[被动] 己方高温物品+50/100%伤害",null,此物品的价值翻倍,当你使用高温物品时，减速一件物品1秒,当你使用高温物品时，冻结一件物品0.5秒,此物品的加速持续时间翻倍,当你使用高温物品时，获得30护盾,当你使用高温物品时，获得30治疗,当你使用高温物品时，造成3剧毒,当你使用高温物品时，造成3灼烧,己方武器和工具+1多重释放,己方高温物品+50%暴击率,己方高温物品被冻结和减速的时间减半,当你使用高温物品时，造成30伤害
02859d88-e334-45a9-8483-597d744cb7c7,Warding Glyphs,守护符文,Item / 物品,Small / 小型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Karnok,Relic / 遗物 | Apparel / 服饰,ShieldRef / 护盾引用 | HealRef / 治疗引用 | RageReference | Crit / 暴击,0.0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,0,0,0,[被动] 当你进入暴怒状态时，己方治疗和护盾物品+20/30/40/50%暴击率,null,此物品的价值翻倍,当你进入暴怒状态时，减速一件物品4秒,当你进入暴怒状态时，冻结一件物品2秒,当你进入暴怒状态时，加速一件物品4秒,当你进入暴怒状态时，获得100护盾,当你进入暴怒状态时，治疗100,当你进入暴怒状态时，造成10剧毒,当你进入暴怒状态时，造成10灼烧,此物品的暴击率加成翻倍,此物品的暴击率加成翻倍,相邻物品受冻结和减速影响的时间减半,当你进入暴怒状态时，造成100伤害
