ID,英文名,中文名,描述(英),描述(中),尺寸,初始等级,可用等级,英雄,标签,效果类型(HiddenTags),图标,卡包ID,生成资格,多重施放
0045d15e-ac74-436f-a200-eeedab7baf90,Backroom Dealings,幕后交易,"When you visit a Merchant, gain 10/20/30/40 Max Health",当你拜访商人时，获得10/20/30/40最大生命值,Medium / 中型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Pygmalien / 皮格马利翁 | Mak / 马克 | Karnok,,Health / 生命值,Icon_Skill_Backroom.png,,,0
00e1526a-0eb6-49af-93fd-e5e4aea5f05a,Shortened Rage,缩短暴怒,You are Enraged for 1 second shorter [Total Duration: ],你的暴怒时间缩短1秒 [总持续时间：],Medium / 中型,Diamond / 钻石,Diamond,Karnok,,RageReference,Icon_Skill_KAR_ReduceRage,,,0
00f1ae18-33a6-499d-b2ea-319ac3debab9,Left Eye,左眼,Your leftmost item has +8/16/24/32% Crit Chance,己方最左侧的物品+8/16/24/32%暴击率,Medium / 中型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Pygmalien / 皮格马利翁 | Vanessa / 凡妮莎 | Dooley / 杜利 | Jules / 朱尔斯 | Stelle / 斯黛拉 | Mak / 马克 | Karnok,,Crit / 暴击,Icon_Skill_LeftEyeDominant.png,,,0
015bc348-773e-4009-87ff-231452431bba,Ice Smasher,碎冰者,"Your leftmost item is affected by Freeze for half as long | If you have exactly one Weapon, all your items are affected by Freeze for half as long instead",己方最左侧的物品受冻结效果影响的时长减半 | 如果己方恰好只有一件武器，则改为使己方所有物品受冻结效果影响的时长减半,Medium / 中型,Diamond / 钻石,Diamond,Jules / 朱尔斯 | Stelle / 斯黛拉 | Mak / 马克 | Dooley / 杜利 | Vanessa / 凡妮莎 | Pygmalien / 皮格马利翁 | Karnok,Weapon / 武器,DamageRef / 伤害引用,Icon_Skill_HeavyFirepower.png,,,0
0283b102-e0ef-4df4-b447-c5208049bf02,Buffed and Polished,抛光加持,Your Drones' and Tools' Cooldowns are reduced by 5/10%,己方无人机和工具的冷却时间缩短5/10%,Medium / 中型,Gold / 黄金,Gold/Diamond,Stelle / 斯黛拉,Drone | Tool / 工具,Cooldown / 冷却,Icon_Skill_STE_BuffedAndPolished,,,0
03533207-fccd-4363-a873-d324c91cabf1,Final Rage,终极怒火,"While you are Enraged, your rightmost item has its cooldown reduced by 1 second(s)",暴怒期间，你最右侧的物品冷却时间缩短1秒,Medium / 中型,Diamond / 钻石,Diamond,Karnok,,RageReference | Cooldown / 冷却,Icon_Skill_KAR_InitialRage,,,0
035a7356-9021-4ba9-8c87-6a88181660ea,Big Ego,虚荣,Your Weapons have Lifesteal,己方武器拥有吸血,Medium / 中型,Diamond / 钻石,Diamond,Common / 通用,Weapon / 武器,Lifesteal / 生命偷取,Icon_Skill_MON_ThickSkin_03.png,,,0
03968f2d-5f40-464a-bf1f-9475836157cd,Jury Rigger,临修工匠,"When you use an Ammo item, Reload the item to the left of it 1/2/3 Ammo",当你使用弹药物品时，装填其左侧相邻的物品1/2/3弹药,Medium / 中型,Silver / 白银,Silver/Gold/Diamond,Common / 通用,,Ammo / 弹药,Icon_Skill_MON_ALittleOfEverything_01.png,,,0
04168bfd-eac1-40ff-ad34-bc10cb92e636,Initial Dose,最初一剂,Your leftmost Poison item has +2/4/6/8,己方最左侧的剧毒物品+2/4/6/8,Medium / 中型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Vanessa / 凡妮莎 | Dooley / 杜利 | Mak / 马克 | Karnok,,PoisonRef / 剧毒引用,Icon_Skill_InitialDose.png,,,0
050ff26a-59ec-4666-89b0-b0630a75149a,Hard Shell,硬壳,"The first time you fall below half Health each fight, Shield equal to 20/30/40/50% of your Max Health [0]",每场战斗中首次生命值降至一半以下时，获得护盾，等量于你最大生命值的20/30/40/50%[0],Medium / 中型,Bronze / 青铜,Bronze/Silver/Gold/Diamond,Common / 通用,,Shield / 护盾 | HealthRef / 生命值引用,Icon_Skill_MON_Withdraw_01,,,0
